Survived,Pclass,Sex,Age,Fare,Embarked,Title,Deck,Family_Size,PassengerId
1,3,male,4.0,15.2458,C,Master,M,3,710
0,2,male,31.0,10.5,S,Mr,M,1,440
0,3,male,20.0,7.925,S,Mr,M,1,841
1,2,female,6.0,33.0,S,Miss,M,2,721
1,3,female,14.0,11.2417,C,Miss,M,2,40
1,1,female,26.0,78.85,S,Miss,M,1,291
1,3,female,18.0,7.75,Q,Miss,M,1,301
0,3,male,16.0,18.0,S,Mr,M,3,334
1,3,female,16.0,7.75,Q,Miss,M,1,209
1,1,female,19.0,26.2833,S,Miss,D,3,137
0,1,male,37.0,53.1,S,Mr,C,2,138
0,3,male,44.0,8.05,S,Mr,M,1,697
0,3,female,18.0,25.4667,S,Miss,M,5,486
0,3,male,30.0,7.225,C,Mr,M,1,245
0,2,male,36.0,13.0,S,Mr,M,1,345
1,1,female,16.0,39.4,S,Miss,D,2,854
1,1,male,42.0,52.5542,S,Mr,D,2,622
1,3,female,18.0,7.8292,Q,Miss,M,1,654
0,2,male,27.0,13.0,S,Rev,M,1,887
0,1,male,47.0,52.0,S,Mr,C,1,111
0,3,male,24.0,7.8958,S,Mr,M,1,295
1,1,male,34.0,26.55,S,Mr,M,1,448
1,3,female,19.0,7.8542,S,Miss,M,2,193
0,3,male,20.0,9.225,S,Mr,M,1,683
0,3,male,26.0,14.5,S,Mr,M,1,539
0,3,male,10.0,27.9,S,Master,M,6,820
0,1,male,40.0,27.7208,C,Don,M,1,31
1,2,male,31.0,13.0,S,Mr,M,1,674
0,3,male,4.0,27.9,S,Master,M,6,64
0,3,female,31.0,7.8542,S,Miss,M,1,397
0,3,male,19.0,7.8958,S,Mr,M,1,878
1,3,female,22.0,7.75,S,Miss,M,1,142
0,1,male,40.0,30.6958,C,Mr,M,1,794
0,3,female,18.0,7.55,S,Miss,M,1,236
1,3,male,18.0,8.05,S,Mr,M,1,205
0,3,male,27.0,14.4542,C,Mr,M,2,621
1,1,male,28.0,35.5,S,Mr,A,1,24
1,3,female,18.0,7.75,Q,Miss,M,1,199
1,1,female,30.0,31.0,C,Miss,M,1,843
0,3,male,26.0,7.8958,S,Mr,M,1,740
0,2,male,21.0,73.5,S,Mr,M,3,121
0,3,male,29.0,7.0458,S,Mr,M,2,478
0,3,male,26.0,8.05,S,Mr,M,1,838
0,3,male,26.0,7.75,Q,Mr,M,1,791
0,3,female,45.0,14.4542,C,Mrs,M,2,363
0,3,male,16.0,34.375,S,Mr,M,5,87
0,3,male,19.0,8.1583,S,Mr,M,1,68
0,3,male,23.0,9.225,S,Mr,M,1,351
0,3,male,24.0,7.05,S,Mr,M,1,211
0,1,male,58.0,113.275,C,Mr,D,3,660
1,3,female,5.0,19.2583,C,Miss,M,4,449
1,1,female,52.0,93.5,S,Mrs,B,3,821
0,3,male,40.0,27.9,S,Mr,M,6,361
1,1,male,11.0,120.0,S,Master,B,4,803
0,3,male,65.0,7.75,Q,Mr,M,1,281
1,1,female,18.0,79.65,S,Miss,E,3,586
0,2,male,32.0,10.5,S,Mr,M,1,71
1,1,female,50.0,247.5208,C,Mrs,B,2,300
1,2,female,35.0,21.0,S,Miss,M,1,212
1,3,female,19.0,7.8792,Q,Miss,M,1,45
0,3,male,21.0,7.775,S,Mr,M,1,409
1,2,female,13.0,19.5,S,Miss,M,2,447
1,2,female,28.0,26.0,S,Mrs,M,2,427
0,1,male,40.0,25.925,S,Mr,M,1,169
0,3,male,26.0,7.75,Q,Mr,M,1,197
0,2,female,57.0,10.5,S,Mrs,E,1,773
0,2,male,21.0,73.5,S,Mr,M,1,73
0,3,male,29.0,7.875,S,Mr,M,1,423
0,3,male,17.0,7.2292,C,Mr,M,3,533
1,1,female,52.0,78.2667,C,Mrs,D,2,592
0,2,female,26.0,26.0,S,Mrs,M,3,313
1,1,female,18.0,262.375,C,Miss,B,5,312
1,1,male,26.0,30.0,C,Mr,C,1,890
1,1,female,39.0,83.1583,C,Miss,E,3,836
0,3,male,23.0,7.8542,S,Mr,M,1,834
0,3,male,36.0,15.55,S,Mr,M,2,606
0,3,female,30.5,7.75,Q,Miss,M,1,768
1,1,female,22.0,49.5,C,Miss,B,3,540
0,2,female,38.0,13.0,S,Miss,M,1,358
0,3,female,41.0,20.2125,S,Mrs,M,3,255
0,3,male,16.0,39.6875,S,Mr,M,6,267
1,2,female,29.0,10.5,S,Mrs,F,1,67
1,1,female,40.0,134.5,C,Mrs,E,3,320
0,3,male,26.0,7.7375,Q,Mr,M,1,779
0,1,male,56.0,30.6958,C,Mr,A,1,175
0,1,male,71.0,49.5042,C,Mr,M,1,494
1,1,female,31.0,113.275,C,Miss,D,2,216
1,1,female,30.0,56.9292,C,Miss,E,1,310
0,1,male,38.0,0.0,S,Jonkheer,M,1,823
0,3,male,26.0,7.25,S,Mr,M,1,251
1,3,male,9.0,20.525,S,Master,M,3,166
0,3,female,9.0,31.275,S,Miss,M,7,542
0,1,male,61.0,32.3208,S,Mr,D,1,626
0,3,male,26.0,7.7292,Q,Mr,M,1,389
0,3,male,26.0,7.8958,S,Mr,M,1,77
0,3,male,28.0,7.8542,S,Mr,M,1,282
1,1,male,48.0,52.0,S,Mr,C,2,713
1,3,male,45.0,8.05,S,Mr,M,1,339
1,2,female,36.0,13.0,S,Mrs,D,1,328
0,3,male,27.0,7.8958,S,Mr,M,1,322
0,1,male,64.0,26.0,S,Mr,M,1,546
0,3,male,35.0,7.125,S,Mr,M,1,591
1,1,female,19.0,91.0792,C,Mrs,B,2,292
0,3,male,38.0,7.05,S,Mr,M,1,466
0,3,male,30.5,8.05,S,Mr,M,1,815
0,3,male,25.0,7.775,S,Mr,M,2,443
1,2,female,40.0,39.0,S,Mrs,M,3,671
0,1,male,47.0,38.5,S,Mr,E,1,463
1,3,male,30.0,9.5,S,Mr,M,1,287
1,1,male,40.0,31.0,C,Mr,A,1,210
1,1,female,40.0,52.0,S,Mrs,C,2,670
0,3,male,20.5,7.25,S,Mr,M,1,228
1,1,female,40.0,89.1042,C,Mrs,C,2,850
1,1,male,36.0,26.2875,S,Mr,E,1,513
0,1,male,40.0,221.7792,S,Mr,C,1,528
0,3,male,20.0,9.8458,S,Mr,M,1,877
0,1,male,71.0,34.6542,C,Mr,A,1,97
0,2,male,36.0,12.875,C,Mr,D,1,293
1,2,female,22.0,29.0,S,Mrs,M,3,324
0,3,female,48.0,34.375,S,Mrs,M,5,737
0,2,male,23.0,11.5,S,Mr,M,4,530
1,1,female,32.0,76.2917,C,Miss,D,1,219
1,1,female,63.0,77.9583,S,Miss,D,2,276
1,2,male,0.83,29.0,S,Master,M,3,79
0,3,male,25.0,7.25,S,Mr,M,1,786
1,1,male,35.0,26.55,C,Mr,M,1,605
1,1,female,49.0,25.9292,S,Dr,D,1,797
0,1,male,24.0,79.2,C,Mr,B,1,140
0,3,female,31.0,14.4583,C,Mrs,M,2,579
0,3,male,21.0,8.05,S,Mr,M,1,495
1,3,female,18.0,7.8792,Q,Miss,M,1,360
1,3,male,4.0,15.2458,C,Master,M,3,66
0,2,male,31.0,0.0,S,Mr,M,1,482
1,3,female,5.0,12.475,S,Miss,M,1,778
1,1,male,49.0,56.9292,C,Sir,A,2,600
1,3,female,15.0,14.4542,C,Mrs,M,2,831
1,1,female,30.0,110.8833,C,Miss,M,1,307
0,3,male,29.0,7.775,S,Mr,M,1,232
0,3,male,42.0,7.55,S,Mr,M,1,846
0,3,female,18.0,17.8,S,Mrs,M,2,50
0,3,male,21.0,8.4333,S,Mr,M,1,653
0,2,female,44.0,26.0,S,Mrs,M,2,855
0,2,male,28.0,13.0,S,Mr,M,1,343
0,2,male,37.0,26.0,S,Mr,M,2,595
0,3,female,39.0,29.125,Q,Mrs,M,6,886
1,2,female,34.0,32.5,S,Mrs,M,3,417
0,2,male,30.0,13.0,S,Mr,M,1,214
0,2,male,66.0,10.5,S,Mr,M,1,34
1,1,female,40.0,146.5208,C,Mrs,B,2,32
0,3,male,43.0,8.05,S,Mr,M,1,669
0,3,male,26.0,8.7125,C,Mr,M,1,585
0,3,male,24.0,7.4958,S,Mr,M,1,515
0,3,male,18.0,7.7958,S,Mr,M,1,689
1,3,female,18.0,24.15,Q,Miss,M,2,110
0,3,male,26.0,8.05,S,Mr,M,1,78
0,3,male,26.0,7.05,S,Mr,M,1,612
1,3,male,26.0,56.4958,S,Mr,M,1,644
1,3,female,18.0,7.7875,Q,Miss,M,1,83
1,2,female,36.0,26.0,S,Mrs,M,2,519
0,3,female,32.0,15.5,Q,Mrs,M,3,658
0,3,male,23.5,7.2292,C,Mr,M,1,297
1,1,male,40.0,26.55,S,Mr,M,1,508
0,2,male,39.0,13.0,S,Mr,M,1,809
1,1,female,40.0,82.1708,C,Mrs,M,2,376
0,3,male,26.0,8.4583,Q,Mr,M,1,6
0,1,male,65.0,61.9792,C,Mr,B,2,55
0,2,male,23.0,10.5,S,Dr,M,1,399
1,1,female,40.0,51.8625,S,Mrs,D,2,458
0,3,male,22.0,7.8958,S,Mr,M,1,522
0,3,male,35.0,7.05,S,Mr,M,1,364
1,1,male,23.0,63.3583,C,Mr,D,2,98
1,2,female,18.0,13.0,S,Miss,M,3,418
1,1,male,36.0,26.3875,S,Mr,E,1,573
0,3,female,9.0,15.2458,C,Miss,M,3,853
0,3,male,17.0,7.125,S,Mr,M,1,434
0,3,male,26.0,7.225,C,Mr,M,1,774
1,3,female,38.0,31.3875,S,Mrs,M,7,26
1,2,female,17.0,10.5,S,Miss,M,1,85
1,3,female,4.0,16.7,S,Miss,G,3,11
0,1,male,45.5,28.5,S,Mr,C,1,332
0,2,male,23.0,13.0,S,Mr,M,1,734
0,3,male,32.0,7.925,S,Mr,M,1,383
0,3,male,26.0,7.8542,S,Mr,M,2,705
0,3,female,6.0,31.275,S,Miss,M,7,814
0,1,male,24.0,247.5208,C,Mr,B,2,119
0,1,male,45.0,26.55,S,Major,B,1,537
0,2,male,29.0,27.7208,C,Mr,M,2,362
0,3,male,26.0,7.8958,S,Mr,M,1,30
1,1,male,40.0,35.5,S,Mr,C,1,56
1,2,female,42.0,13.0,S,Mrs,M,1,866
0,3,male,36.0,24.15,S,Mr,M,3,596
0,2,male,33.0,12.275,S,Mr,M,1,240
0,3,male,17.0,7.0542,S,Mr,M,2,722
1,3,male,29.0,9.5,S,Mr,M,1,82
1,2,female,50.0,26.0,S,Mrs,M,2,260
1,1,female,35.0,90.0,S,Mrs,C,2,487
1,1,female,38.0,227.525,C,Miss,C,1,717
0,2,male,34.0,13.0,S,Mr,M,1,801
1,1,female,17.0,57.0,S,Mrs,B,2,782
0,3,female,11.0,31.275,S,Miss,M,7,543
0,3,male,61.0,6.2375,S,Mr,M,1,327
0,3,female,30.0,8.6625,S,Miss,M,1,535
1,2,female,7.0,26.25,S,Miss,M,3,536
1,3,female,63.0,9.5875,S,Mrs,M,1,484
1,3,male,20.0,7.2292,C,Mr,M,1,763
1,3,female,31.0,22.3583,C,Mrs,M,3,534
0,3,male,29.0,9.4833,S,Mr,M,1,714
1,1,male,36.0,120.0,S,Mr,B,4,391
0,3,male,26.0,14.4583,C,Mr,M,1,496
0,3,male,50.0,8.05,S,Mr,M,1,483
0,1,male,27.0,211.5,C,Mr,C,3,378
0,3,male,30.0,7.25,S,Mr,M,1,366
1,1,female,33.0,90.0,Q,Miss,C,2,413
0,3,male,26.0,7.725,Q,Mr,M,1,469
0,3,female,18.0,25.4667,S,Miss,M,5,410
0,3,male,2.0,21.075,S,Master,M,5,8
1,2,female,25.0,30.0,S,Miss,M,3,581
0,1,male,51.0,61.3792,C,Mr,M,2,156
1,2,female,25.0,26.0,S,Mrs,M,2,881
0,3,male,26.0,7.25,S,Mr,M,1,426
0,3,male,26.0,7.8958,S,Mr,M,1,102
0,2,female,24.0,13.0,S,Miss,M,1,200
0,3,male,18.0,20.2125,S,Mr,M,3,425
